TIC,TOI,Disposition,R_p,Period_p,Epoch_p,RA,Dec,H_mag,V_mag,M_*_TIC8,R_*_TIC8,Teff_*_TIC8,a/R*,N_pl
198187049,2069.01,CPC,1.047,5.921423,1688.473496,245.727924,61.694632,6.868,8.71,0.9,0.82,5268,16.16,1
233182695,2070.01,CPC,2.308,6.383882,2654.784093,219.043489,68.940618,8.903,10.265,1.06,1.16,5801,12.68,1
198360694,2071.01,CPC,2.588,5.673934,2659.620814,256.601193,57.6611,10.133,11.541,1.06,1,5835,13.63,1
900715901,2072.01,CPC-,1.321,3.167981,2635.550895,173.989738,75.547005,9.053,13.797,0.48,0.39,3546,18.28,1
441642457,2073.01,PC,2.84,53.199144,1745.519019,209.883014,58.933013,8.544,9.996,1.02,1.16,5682,51.89,1
158075010,2074.01,PC,3.595,177.583051,1754.149159,218.184663,43.756342,7.754,8.816,1.38,1.6,6501,92.44,1
23814735,2075.01,VPC+,2.313,4.798169,2690.292318,210.04448,38.705773,9.324,12.389,0.64,0.67,4065,15.45,1
27491137,2076.01,VP,2.41,10.35636,2675.695029,217.392678,39.790429,7.188,9.139,0.87,0.77,5163,24.73,3
27491137,2076.02,VP,3.179,35.125747,2675.93251,217.392678,39.790429,7.188,9.139,0.87,0.77,5163,55.82,3
27491137,2076.03,VP,3.793,21.015305,2673.364369,217.392678,39.790429,7.188,9.139,0.87,0.77,5163,39.63,3
230075227,2077.01,CPC,1.554,6.115583,3348.12211,244.376994,68.894514,8.713,10.344,0.91,0.85,5284,16.13,1
159244568,2078.01,FA,2.539,6.277248,1820.249587,227.178797,82.447213,9.863,12.026,0.9,0.8,5207,17.25,1
224298134,2079.01,VPC,1.212,1.492324,2634.220669,185.339399,57.752467,8.83,12.816,0.48,0.48,3679,8.95,2
224298134,2079.02,VPC,1.936,9.317407,2633.661001,185.339399,57.752467,8.83,12.816,0.48,0.48,3679,30.34,2
367739494,2080.01,VPC,3.06,63.580945,1689.532084,250.383449,80.045601,10.087,12.346,0.79,0.72,4828,85.91,1
321669174,2081.01,VP,1.948,10.505436,2757.444606,264.303065,53.025703,9.748,13.369,0.51,0.52,3833,31.36,2
321669174,2081.02,CPC,1.4,5.10972,1686.965949,264.303065,53.025703,9.748,13.369,0.51,0.52,3833,19.39,2
160039081,2082.01,PC,2.604,30.200477,3444.153514,241.580697,53.515042,6.962,8.35,1.11,1.15,6004,36.77,1
233633993,2083.01,VPC,3.057,17.969639,1695.867578,284.76751,60.154193,10.31,12.872,0.69,0.77,4393,33.26,1
441738827,2084.01,VP,2.06,6.078403,2652.834382,259.253846,72.746865,11.356,15.115,0.46,0.47,3727,23.26,2
441738827,2084.02,NEB,2.578,8.149028,1745.410754,259.253846,72.746865,11.356,15.115,0.46,0.47,3727,28.28,2
103633672,2085.01,STPC,3.461,9999,1850.32085,152.223906,70.39473,8.708,10.586,0.87,0.8,5134,2334.2,1
230387153,2086.01,VPC?,2.765,41.754,2772.489982,285.921518,65.785399,10.247,11.919,0.92,0.91,5286,53.93,2
230387153,2086.02,CPC,2.421,20.261655,2662.482575,285.921518,65.785399,10.247,11.919,0.92,0.91,5286,33.3,2
219462190,2087.01,STPC,2.266,9999,1709.129054,208.053204,75.165293,9.128,10.65,1,0.95,5606,2049.73,1
441765914,2088.01,VP,3.513,124.72987,2517.9957,261.375229,75.882288,9.607,11.638,0.8,0.83,4852,117.43,1
341815197,2089.01,PC,2.652,49.995002,2790.282263,267.307159,54.415947,10.34,12.281,0.9,0.78,5205,70.85,1
233721037,2090.01,PC,3.679,230.92212,1715.333688,276.394146,64.636735,8.139,9.318,1.28,2.12,6351,81.18,1
219778329,2091.01,PC,2.032,177.218887,1742.87474,263.851951,64.380452,7.297,8.74,1.04,1.15,5809,116.98,1
393965778,2092.01,CPC,2.671,4.303244,2687.380579,212.546897,45.563995,9.603,11.295,0.96,1.05,5593,10.43,1
402898317,2093.01,PC,2.225,53.810871,1751.624048,302.738008,70.869416,9.115,11.925,0.7,0.73,4455,72.95,1
356016119,2094.01,VPC+,1.715,18.793175,1691.319362,254.14323,70.027316,10.205,14.409,0.37,0.38,3552,56.44,1
235678745,2095.01,VP,1.298,17.664866,1692.799727,285.633044,75.418605,9.186,13.19,0.46,0.46,3837,47.6,2
235678745,2095.02,VP,1.448,28.17225,1704.29023,285.633044,75.418605,9.186,13.19,0.46,0.46,3837,64.98,2
142748283,2096.01,VP,1.623,3.119072,2601.846172,151.619127,74.827534,11.298,15.92,0.22,0.25,3325,21.87,2
142748283,2096.02,VP,2.041,6.38782,1687.53823,151.619127,74.827534,11.298,15.92,0.22,0.25,3325,35.26,2
279982557,2097.01,NEB,1.674,1.789022,1712.393015,297.394087,66.2939,10.461,12.391,0.9,0.79,5176,7.57,1
356700488,2098.01,STPC,2.466,9999,1756.674319,254.455487,68.69967,7.926,8.413,1.85,1.55,7697,1550.21,1
230386397,2099.01,NEB,3.936,19.507866,2626.670376,285.785873,64.22998,9.557,12.224,0.67,0.71,4316,37.53,1
219436394,2100.01,PC,3.068,23.657399,2605.640236,205.594366,76.647967,9.863,11.432,0.97,0.85,5499,40.62,1
165527918,2101.01,VPC,2.583,9.075327,1690.4168,266.133619,54.091135,9.688,11.21,1,1,5574,18.33,1
289590465,2102.01,VPC+,2.126,6.706024,1687.583784,253.442913,65.294116,10.284,12.229,0.91,0.81,5244,17.95,2
289590465,2102.02,STPC,3.219,9999,2958.470839,253.442913,65.294116,10.284,12.229,0.91,0.81,5244,2342.88,2
160491359,2103.01,PC,1.217,2.662073,2663.746739,239.018068,73.073855,9.062,11.269,0.8,0.8,4884,9.39,2
160491359,2103.02,PC,1.7,20.292647,1697.682402,239.018068,73.073855,9.062,11.269,0.8,0.8,4884,36.35,2
367630162,2104.01,CPC,1.475,3.272312,3336.160755,151.615396,83.088409,8.746,10.838,0.8,0.72,4907,11.9,5
367630162,2104.02,CPC,1.367,5.904369,3329.870632,151.615396,83.088409,8.746,10.838,0.8,0.72,4907,17.64,5
367630162,2104.03,PC,1.878,15.180875,3335.884786,151.615396,83.088409,8.746,10.838,0.8,0.72,4907,33.1,5
367630162,2104.04,PC,1.176,1.980315,3336.943627,151.615396,83.088409,8.746,10.838,0.8,0.72,4907,8.51,5
367630162,2104.05,PC,1.679,9.56111,1687.794321,151.615396,83.088409,8.746,10.838,0.8,0.72,4907,24.32,5
156199502,2105.01,CPC,2.228,15.915269,2422.272665,181.073879,83.437653,8.499,10.88,0.76,0.82,4718,29.6,1
393911494,2106.01,NEB,5.303,0.633259,1899.861702,207.178626,44.912027,8.842,10.52,0.99,0.98,5565,3.17,1
446549906,2107.01,P,14.202,2.45457,1654.61467,286.796508,-58.6968,10.435,12.036,0.98,0.97,5565,7.83,1
347538174,2108.01,APC,29.315,6.801962,2719.380198,247.481603,21.495129,9.3,10.597,1.24,1.42,6185,11.4,1
392476080,2109.01,P,15.726,0.67249,1984.38888,253.186335,16.579955,9.129,10.217,1.4,1.7,6428,2.13,1
394029948,2110.01,FA,3.211,32.76639,1687.55509,282.22904,78.568858,8.876,10.211,1.14,1.39,5959,32.29,1
356235833,2111.01,NEB,2.254,1.268045,3479.42095,260.096611,20.282609,8.147,9.83,0.96,0.95,5477,5.11,1
427320001,2112.01,PC,4.484,14.012058,2729.804553,343.853846,70.297284,6.785,7.48,1.61,1.58,7184,18.14,2
427320001,2112.02,STPC,5.552,155.8237,2856.006624,343.853846,70.297284,6.785,7.48,1.61,1.58,7184,90.4,2
1400212743,2113.01,NEB,4.079,5.24612,1984.22398,267.354608,40.45738,9.176,11.018,1.18,1.28,6062,10.51,1
9828416,2114.01,VPC,14.349,6.209962,3476.661598,261.096435,33.205086,9.153,10.265,1.28,2.1,6301,7.36,1
54464870,2115.01,NEB,3.064,3.694432,3447.794803,19.595446,63.545043,7.907,8.43,1.99,2.11,7737,5.99,1
422838133,2116.01,NEB,3.29,5.309031,2741.534916,23.829561,72.936838,9.009,10.006,1.51,1.65,6345,8.91,1
279212407,2117.01,NEB,12.513,28.662078,1971.418631,25.690182,65.895822,9.122,10.535,1.23,1.72,5894,24.51,1
17416749,2118.01,NEB,4.261,2.34483,1956.56894,242.201042,35.691251,7.94,9.11,1.28,2.13,6307,3.79,1
236387002,2119.01,BD,12.022,7.200861,3442.055186,244.430023,26.304182,8.393,12.39,0.5,0.5,3706,24.94,1
389900760,2120.01,VP,2.635,5.799819,1795.822874,23.504133,65.514916,10.452,15.648,0.21,0.24,3196,33.64,1
88996391,2121.01,APC,12.403,2.319565,2718.98744,263.944455,36.196595,10.168,13.101,0.64,0.63,4147,10.1,1
311408969,2122.01,KP,14.543,3.585228,2767.525934,264.273474,25.731182,11.714,13.197,1.06,1.07,5732,9.42,1
105840719,2123.01,VPC+,3.826,10.308837,2691.819821,243.941051,17.024018,8.53,10.237,0.95,0.84,5432,23.23,1
