KIC,TIC,Vmag,VmagErr
8636539,272173308,15.139,0.058
9283156,63451711,13.005,0.103
9574158,164780909,15.681,0.058
9653622,270618386,14.913,0.069
7294743,271671386,13.525,0.069
6765135,158554432,15.248,0.092
5342061,120104251,15.411,0.092
4047631,121784061,14.8,0.126
6516185,122136164,16.16,0.24
7446631,63211984,14.325,0.149
5906426,171973015,14.789,0.115
12208631,26474227,15.359,0.092
2443393,137149053,12.694,0.069
9019191,159520132,15.585,0.114
3002478,138714093,14.349,0.103
8631751,271044795,16.93,0.2
4172746,139034380,15.758,0.092
5095635,122596039,14.632,0.126
12254688,299218362,13.067,0.08
4172013,138891058,15,0.149
1996180,120825510,14.075,0.126
2305866,137487105,12.494,0.08
9712350,63294055,15.966,0.103
9580167,158664815,15.183,0.046
7984574,268485338,15.837,0.08
10336951,159516818,15.053,0.137
8240617,271046185,14.45,0.137
11622985,28084859,15.621,0.092
11361283,27914511,16.057,0.423
6364215,351072962,15.695,0.069
6467363,170652891,14.07,0.08
10073672,159644390,16.62,0.2
6842807,164674750,15.645,0.206
9815053,164523895,14.852,0.172
9697131,164835943,10.281,0.006
10917043,406948346,15.999,0.092
6697605,270609465,15.223,0.206
12602314,406998358,15.164,0.183
5787131,122445360,16.085,0.606
6346809,120421302,15.047,0.183
4547603,121120846,14.618,0.114
5716763,138968089,11.899,0.025
12416987,27638855,16.281,0.172
8259713,269120726,13.686,0.08
11098013,28232287,10.924,0.009
3425851,120628862,0,0
10397751,158840095,14.018,0.103
6679295,158632174,16.603,0.446
6026737,120686979,13.317,0.114
4935172,138730381,14.369,0.008
8760040,270954695,14.691,0.217
8176564,271668161,10.474,0.006
10604521,270695171,15.832,0.252
4385148,184417747,15.627,0.263
4367854,137631768,15.225,0.149
10597693,417659903,14.831,0.103
7466270,272951759,16.091,0.252
2985587,122451569,13.943,0.103
5642620,169557170,15.652,0.103
8873090,158274756,11.844,0.024
9958387,271253611,13.468,0.092
11197853,27458108,13.884,0.099
6716021,273506753,13.477,0.057
8326342,269265423,14.8,0.114
4831728,122595516,15.076,0.069
4249611,121393535,15.477,0.046
7899070,271159409,15.834,0.229
4939533,184246677,15.822,0.103
4846856,138803146,15.552,0.172
10265602,158663323,15.675,0.332
4552729,121940463,15.108,0.149
3663173,184086159,15.824,0.138
9109857,273867774,12.712,0.046
6716545,273507060,13.832,0.08
5196864,377917128,15.839,0.08
11071200,267667925,12.98,0.092
8703129,272606393,12.049,0.027
6837283,123364153,12.209,0.057
5613821,122137957,13.628,0.103
8639908,272938824,15.537,0.069
11076400,298784683,14.532,0.114
10190075,164524347,14.724,0.103
10749059,28358785,15.828,0.206
7668416,158170168,15.356,0.035
6029239,121112251,12.573,0.069
3545478,137318401,11.684,0.018
11565544,27390208,14.805,0.114
12072872,27911652,13.509,0.137
8241079,271160732,13.749,0.126
12168993,27777571,15.595,0.149
8008067,123450224,12.775,0.092
7051180,272484616,13.314,0.08
2446113,137348189,13.311,0.137
5903749,171096234,15.207,0.149
8581240,274128106,13.061,0.092
8684730,159303995,12.675,0.037
8554498,159107668,11.713,0.046
6949898,63122994,15.339,0.16
2973386,121084262,16.013,0.217
7022573,158721874,16.532,0.031
9288237,271255793,12.501,0.036
6593150,158553702,16.109,0.058
6523351,137409126,13.285,0.069
5551672,360024596,17.63,0.2
8197793,185057595,15.095,0.16
6357290,122067394,15.778,0.092
4072955,184014067,14.442,0.206
8695311,270857795,16.012,1.133
9834731,270517911,15.11,0.206
7609674,63284089,13.37,0.103
4252322,121734851,13.388,0.114
5475042,170737761,15.346,0.126
9541295,273132397,12.722,0.069
4770174,169457163,12.843,0.103
8949925,159512144,15.141,0.08
9959492,271547996,15.406,0.137
8827575,271428166,13.79,0.114
6438099,122297710,15.97,0.24
3752110,137765338,15.466,0.16
1717722,122515768,16.047,0.126
5040077,171026551,14.837,0.069
7918652,269123803,13.181,0.069
9230021,272275278,15.707,0.024
3230805,122304858,15.23,0.057
4676964,169078422,15.059,0.103
4770617,169561256,14.953,0.172
7609553,63284044,14.727,0.046
11395587,298836002,13.53,0.103
8509442,272607420,16.069,0.172
3219643,120971695,15.734,0.343
8546542,279913513,14.684,0.103
8613535,158326744,14.521,0.114
10122538,164524311,16.43,1.133
11566064,27396246,13.323,0.08
12256520,406951266,14.65,0.069
12785320,406997913,12.913,0.172
10000941,158322085,13.809,0.103
6677841,158428960,13.647,0.08
7106173,158631289,12.865,0.103
8265218,185111663,14.546,0.172
9214713,159389556,14.819,0.16
9119458,185061936,14.75,0.126
12406807,417655814,15.456,0.137
4548011,121215710,12.442,0.057
10016874,270790611,14.791,0.057
10395543,158561812,15.12,0.2
7429287,158218734,11.491,0.018
10717241,350812580,15.278,0.137
7303287,273234825,14.142,0.069
8121310,268302011,12.94,0.069
11709124,416282268,14.646,0.092
11805075,399825512,15.084,0.263
11824222,351192602,14.555,0.092
6268648,120576846,11.16,0.015
8212002,123410927,11.717,0.018
7017274,158167402,11.725,0.019
12366084,27686898,15.565,0.172
9872283,123357476,14.127,0.103
4951877,170740547,14.778,0.229
5544450,138725680,12.005,0.028
8226050,158989909,14.964,0.183
6779260,63213622,12.363,0.032
5443837,122441694,14.681,0.149
2832589,120693914,15.49,0.057
10793172,406948151,14.857,0.092
10285631,272279290,13.613,0.103
7504328,164410919,14.985,0.217
7199397,159767194,10.937,0.008
10157458,273129679,15.555,0.149
1723078,351053716,12.823,0.08
9008220,158172682,14.789,0.057
9955262,270619211,10.264,0.006
7906892,272717129,13.656,0.103
8320630,274024204,15.543,0.309
9703198,158787010,14.941,0.126
6289650,138099073,14.21,0.08
11135694,417658769,15.556,0.149
8216763,164676810,15.522,0.172
6879865,272183077,14.978,0.114
3758499,377873275,13.884,0.126
9552608,239311194,11.224,0.013
10221013,272600471,15.523,0.149
2299738,122516643,14.193,0.126
7619236,271539828,14.016,0.08
7630229,273574154,13.846,0.08
7730747,123234052,13.952,0.137
7906882,272716963,13.713,0.103
7976520,272941955,13.951,0.092
2302997,137148881,15.268,0.08
8505215,271666873,13.19,0.069
10265898,158731243,15.549,0.183
12600735,416267321,14.128,0.08
10272442,159643991,15.404,0.15
4055765,137093180,12.681,0.069
5131180,171977939,13.727,0.126
10843431,48131702,16.433,1.133
10287242,272600074,15.963,0.137
5596440,390207656,13.348,0.08
9588822,63129375,12.198,0.069
10610039,271877511,15.041,0.126
1025986,122784720,10.313,0.006
11284772,267667567,15.567,0.16
4832837,122706051,15.22,0.069
5441980,394174576,14.518,0.149
10972902,407002020,14.884,0.16
6309763,170652343,14.146,0.092
9413156,271663411,16.145,0.286
9846348,273372823,13.869,0.149
2696205,121022334,15.203,0.092
12251650,399949796,15.074,0.046
12417486,27687120,15.176,0.092
2834805,120971168,12.605,0.114
2569995,122306130,17.47,0.047
2577353,351056285,14.672,0.137
4478168,138972811,13.637,0.126
7256914,123409439,14.111,0.092
6871071,270863576,14.701,0.035
3112129,122375887,14.528,0.114
3103212,121395463,14.554,0.114
10875007,27988439,14.443,0.137
7021681,158631520,15.607,0.023
11967788,27014383,13.405,0.02
7199060,159717340,12.891,0.08
7733731,164460425,13.344,0.114
3110177,122142964,15.027,0.069
3232249,122518332,16.461,0.028
8282651,164671623,16.037,0.115
5688683,120578688,13.622,0.092
8222627,158494719,14.107,0.069
2984990,122375696,15.013,0.15
7758018,270524335,15.515,0.195
8264402,185058067,12.918,0.069
3129238,138713796,12.489,0.057
7907808,272942040,14.665,0.08
9700449,158393710,15.302,0.16
6140059,184426803,13.594,0.092
3852872,137483321,13.298,0.069
9086154,159520001,14.021,0.114
11970988,27533070,13.626,0.08
6792908,271963183,13.262,0.08
10534155,159727191,13.578,0.114
6350882,121113382,15.555,0.366
3450040,137975367,14.609,0.206
9456281,158559883,15.759,0.092
5129453,171584953,16.09,0.16
7918478,269123825,16.067,0.137
9509343,164407978,15.064,0.092
7673841,158796434,13.528,0.092
11968463,27082352,15.76,0.572
5436161,121333360,15.264,0.103
4571844,377907245,15.745,0.378
2859893,137977008,16.097,0.263
7582691,123231041,15.617,0.012
9836563,270854231,12.818,0.08
1724719,137488218,14.123,0.103
11081504,407001787,11.255,0.012
12016267,26885588,11.615,0.016
3550372,137893617,15.375,0.15
8240790,271046093,13.838,0.092
7191646,158927201,15.877,0.172
7801070,123416332,15.353,0.046
4172805,139034365,16.442,1.133
5126182,170645656,14.788,0.217
9642018,158787129,15.746,0.172
7661893,123499004,13.135,0.114
9776794,271041105,16.528,0.32
7673192,158725491,13.27,0.092
11124436,267569912,14.422,0.114
5780855,121660905,13.911,0.114
9491832,240219681,12.996,0.103
2852941,137220342,13.492,0.103
10647452,48217032,15.794,0.024
4773392,170232566,14.135,0.183
9936080,164556454,12.536,0.092
6290935,138296341,13.57,0.114
12734396,299090471,15.857,0.137
8278685,351804043,13.576,0.08
6103377,120042828,15.023,0.103
3660581,139036031,12.362,0.034
10794974,417660221,13.267,0.114
3558849,138888805,14.32,0.114
5175024,121465371,14.137,0.172
10991114,28449723,14.28,0.126
4945764,169079463,13.638,0.092
9514372,352014147,14.492,0.172
3762750,139105008,15.827,0.115
9886361,159174926,12.818,0.08
12737015,406998023,13.633,0.092
8482059,279913579,15.394,0.103
9286088,270788266,12.541,0.069
6937529,158722002,14.257,0.092
5197233,378088698,14.514,0.057
7119481,63212809,14.791,0.183
8741470,158213306,13.919,0.057
2997459,138037563,14.925,0.092
8330207,185058382,16.75,1.03
5881813,138219367,15.421,0.103
9202434,164555327,14.349,0.183
7901016,271431593,13.568,0.092
5385410,169558404,13.786,0.137
7749002,159377945,15.76,0.332
3848083,122605667,16.104,0.24
6359926,122443620,15.026,0.172
8324518,268821390,15.521,0.126
3103473,121395521,16.019,0.195
5785279,122296138,15.254,0.126
9896018,270790094,15.178,0.126
12456063,299097354,12.097,0.069
5096053,122602667,13.233,0.08
5802637,138967802,15.671,0.252
5531694,137089993,13.626,0.092
7107802,158792743,14.808,0.126
12509829,417679274,16.243,1.133
2576962,137316266,14.303,0.137
10140274,159728106,15.922,0.206
8345384,123417161,11.889,0.028
9072639,164559713,12.651,0.046
8890924,270700335,13.451,0.114
4054784,122685540,14.342,0.046
10745365,27987421,14.739,0.183
8396660,185110667,11.336,0.013
9716028,270957857,12.641,0.057
6223324,239228671,15.371,0.126
9773980,275576105,14.673,0.172
10467714,159516505,14.549,0.766
4141593,121011905,13.363,0.092
7778427,268604095,12.653,0.057
6523058,63121826,16.155,0.275
11769689,27396862,14.771,0.103
9457948,158837069,14.851,0.057
4072271,139105893,12.82,0.114
8098212,63076331,14.556,0.08
6369131,138220785,14.581,0.069
7820699,159650492,15.067,0.092
10257229,164556913,13.788,0.103
3539231,122142062,15.07,0.08
6311891,171094135,15.203,0.035
7834045,271765664,15.044,0.15
10663738,159643077,14.894,0.035
7891294,63009058,12.985,0.114
5431027,120575444,14.906,0.08
6070337,171513285,15.884,0.115
5954001,394173427,13.964,0.16
8196226,240193270,13.828,0.114
9002538,164522634,11.644,0.018
5642688,169557237,15.423,0.069
5552562,239226873,15.9,0.126
6186182,120318329,15.506,0.195
4073017,184014202,15.135,0.092
10585749,164834493,14.761,0.137
9579208,158491422,10.391,0.006
9773270,240178613,15.896,0.137
9457728,158787519,10.462,0.006
2303903,137315720,16.177,0.046
9278216,159512841,15.597,0.024
8355131,158494311,15.925,0.24
12645057,299161543,15.263,0.092
4844367,138643168,15.056,0.16
10937749,416527568,14.695,1.03
8332521,185335694,13.93,0.08
4060229,137551593,14.864,0.183
8443527,272272235,11.688,0.02
10907132,48449482,15.751,0.115
6520753,159653911,16.203,0.126
9893468,240178289,13.129,0.103
11655826,298968155,15.492,0.046
1721157,137147684,15.378,0.126
9947653,159300861,13.964,0.114
5253802,120044024,14.058,0.15
12554634,299161330,15.665,0.355
6264750,237190228,14.057,0.092
11290515,298964574,12.369,0.08
8493354,159648579,13.631,0.103
5457326,377909995,15.621,0.103
8628761,275573199,12.944,0.069
4750669,137897022,15.597,0.126
6717252,273776686,14.031,0.092
4902202,350988940,15.61,0.172
11350118,26492310,16.014,0.16
2572029,122516963,13.664,0.08
7905106,272372189,11.963,0.026
9007151,352013316,16.101,0.137
4450844,121215601,10.629,0.007
11181260,243272490,13.626,0.126
2558163,121083766,15.793,0.206
8107611,271541616,13.753,0.126
8752940,63000796,14.668,0.126
4384909,184417746,16.048,0.183
11506654,26419160,14.548,0.103
5687700,399821482,15.781,0.16
8806985,158221180,13.196,0.057
6527078,275567969,13.321,0.069
10120548,123445536,15.957,0.378
4474462,138644533,14.03,0.149
10003058,158661445,14.871,0.137
9031703,271544848,14.463,0.08
12204137,299089212,16.815,0.031
5389956,171028357,15.323,0.183
10662202,407002705,15.598,0.057
3934657,120355636,13.942,0.114
7515336,158555998,12.825,0.069
3557560,378083951,15.31,0.115
12109267,406999438,13.795,0.16
8700895,272173063,15.019,0.069
5003670,122070274,15.146,0.103
12265786,27454385,15.766,0.16
10873178,27905549,14.734,0.137
11337012,48421330,15.521,0.069
8359569,159107209,15.647,0.252
9837828,271165837,16.733,1.133
4857058,169078948,14.518,0.069
9947389,159300992,14.774,0.103
3765917,184243096,15.575,0.035
7833305,271669592,13.129,0.046
12647577,417655232,14.324,0.137
4252671,121784745,13.101,0.126
11153476,267989524,13.891,0.126
6144039,169177370,14.815,0.114
5985713,170650421,12.343,0.069
6839010,123452861,13.734,0.137
9775385,270697641,11.047,0.011
6197344,122066467,14.345,0.24
11357664,27457518,15.604,0.046
7272132,158792327,15.133,0.172
8430053,159763763,13.715,0.092
12458605,406998607,13.557,0.103
4953173,171101826,14.091,0.114
5352640,121732816,16.166,1.133
4048898,121988985,12.068,0.08
4587135,169562440,15.957,0.297
5511659,237158922,15.536,0.195
7583650,123363138,13.832,0.16
3867794,184167563,15.843,0.195
5819801,171506211,12.359,0.069
6276791,121943923,15.486,0.046
10140122,159728077,15.524,0.423
5033823,169182342,13.51,0.126
3223433,121535837,14.947,0.08
8803757,164779604,15.293,0.172
9479306,272845642,16.195,0.138
5437762,121603123,13.876,0.103
4996057,121013297,12.182,0.069
8349399,164676924,14.174,0.069
6043562,137410379,16.043,0.046
4919550,122447324,15.587,0.286
5645170,170344062,15.481,0.103
9110610,274020427,13.722,0.069
5208962,169181408,14.898,0.137
4742188,122440112,15.219,0.057
8301878,63365920,14.327,0.057
10221505,272600463,15.94,0.343
11658036,416282481,14.113,0.137
8397947,185335907,15.8,0.206
6665860,351801919,14.619,0.092
5769810,350987713,13.407,0.057
12071754,27845133,14.414,0.16
10384298,123310203,12.325,0.069
3109550,122130752,12.329,0.057
6131130,138636748,15.864,0.137
4742452,122447813,15.056,0.172
4277304,138973315,14.138,0.126
8626325,63286885,13.135,0.057
3098605,120763468,15.686,0.137
9005321,164785336,16.074,0.24
5563300,171504993,14.864,0.069
12253769,299089415,13.626,0.08
8054719,268824746,15.121,0.092
4762283,184164457,15.517,0.195
3849187,122716726,15.743,0.08
2976017,121395622,14.617,0.183
6786224,270948559,14.359,0.172
11072016,48505185,14.563,0.172
3245969,138568968,15.969,0.115
7902003,271669080,12.522,0.036
11905409,243271113,15.972,1.133
9571186,164416500,15.032,0.114
8973285,273688482,15.847,0.115
3758922,378012496,14.871,0.16
