,name,disposition,period_p,period_p_error,epoch_p,epoch_p_err,duration,radius_p,a/R*,ecc,ecc_err,omega,omega_err,ecosw,ecc_source,mass_p,mass_p_err,predicted_K_p,mass_sigma_needed,current_mass_sigma,logg_p,teq_p,teff_*,mass_*,radius_*,met_*,RA,dec,vmag,hmag,Met*_KIC,KPF_30min_RVSig,Nobs_30m_KPF,logCtoO,mmw,FoM_trans,FoM_emiss,eclipse_depth,LastScheduledTransitDate,LastScheduledTransitSector,LastEM3TransitDate,LastEM3TransitSector,LastEM4TransitDate,LastEM4TransitSector
0,119.01,CPC,5.5411114,4.6e-06,2460189.4284723,0.0008946,2.467,2.04482,15.29,0.04133275020502955,,305.764864457411,,-0.024157347270892693,SH,8.16,,3.2635382719939083,2.0,0.0,1.281536483147206,927.6809204269883,5130.0,0.86,0.82,0.0,99.237983,-58.015237,10.07,8.125,,0.19623026520677747,0.04338462095742829,-0.26,4.184,0.18323234470170202,4.587822009519933e-05,1.9346684997672476e-07,2460931.9373999,96,-1.0,-1,2462128.8174623,13
1,119.02,CPC,10.6917268,2.12e-05,2460038.7211767,0.0021308,3.002,1.79811,23.7,0.26102858503532134,,283.19678503277925,,0.28788808515459663,SH,7.06,,2.3474986571752097,5.0,0.0,1.3303286812991526,745.1233862653177,5130.0,0.86,0.82,0.0,99.237983,-58.015237,10.07,8.125,,0.19623026520677747,0.5240618431841925,-0.26,4.186,0.11560939660318714,3.5460307321408583e-06,1.4953487607940955e-08,2460926.1345011,96,-1.0,-1,2462123.6079027,13
2,122.01,VP,5.078032534919974,7.6383885e-06,2458329.118988086,0.0008659716,1.2100353070190597,2.6347763362680414,25.35,0.017088908189365377,,144.06512004352567,,0.013836624500132448,SH,10.34,,8.223890863858909,5.0,0.0,1.1641895231438946,480.4509921090188,3421.0,0.32,0.33,0.0,332.947,-58.9451,15.526,11.02,,2.120904439696427,4.98825663804878,-0.26,4.497999999999999,0.2425829587265323,5.1816392996792685e-08,8.288332743187268e-10,2460898.6034507556,95,-1.0,-1,2461792.3371769013,1
3,128.01,VP,4.9404714,7.1e-06,2460175.8671595,0.0012993,1.954,2.3216,11.28,0.02930887402412733,,301.9496143449007,,0.01550947328420232,SH,9.24,,3.1992045791963744,2.0,0.0,1.2252536739296522,1275.6496224355099,6059.0,1.13,1.13,0.0,79.522476,-80.964663,8.44,7.018,,0.12226175533019049,0.017525825127573186,-0.26,4.429,0.2697160884549041,0.00048484897537235907,1.2280229469732675e-06,2460902.1164553,95,-1.0,-1,2462127.3533624997,13
4,133.01,VPC,8.199536849971338,1.6793305e-05,2458327.2802729565,0.00151152,2.116827745097223,1.922621075271963,23.02,0.09496318766460753,,86.95764956041958,,0.00504008415187073,SH,7.64,,3.178625451192051,5.0,0.0,1.3064624542220435,630.9247587944019,4281.0,0.67,0.65,0.0,354.395739,-58.954636,11.551,8.286,,0.356528288419895,0.9435622101992923,-0.26,4.372,0.1564610506177172,1.0737658753948512e-06,4.876515375110906e-09,2460926.533454397,96,-1.0,-1,2461795.6843604944,1
5,136.01,VP,0.4629306872845131,3.872269e-06,2458325.724660599,0.00015644342,0.6310153872601454,1.5171972518975887,7.22,0.004460016880684336,,336.21624578716296,,-0.004081245724798353,SH,5.61,,15.735252775020868,5.0,0.0,1.3780352593670218,797.3684210526317,3030.0,0.16,0.19,0.0,340.4921,-69.169,15.24,9.477,,1.0527724500999687,0.33572434745830965,-0.26,4.185,0.9349049293582058,0.0002037214377553015,1.6011673753168745e-06,2460907.489103585,95,-1.0,-1,2461801.8711914187,1
6,139.01,VP,11.07085752966374,2.77106e-05,2458334.8915627403,0.0013814847,2.193761658461342,2.3337648035251695,26.37,0.01368720730988301,,232.84105388140168,,-0.008267459547394105,SH,9.29,,3.413933879419847,5.0,0.0,1.223058035329616,606.5629091534636,4405.0,0.69,0.7,0.0,336.402307,-34.909623,10.55,7.773,,0.22107104633226804,0.31449575363391885,-0.26,4.460000000000001,0.2368362934773124,9.28174472402276e-07,3.3283548329769037e-09,2460903.330509622,95,-1.0,-1,2461800.069969525,1
7,142.01,VPC+,0.8533534003702584,2.794214e-06,2458325.4859006936,0.00031706883,1.201873683722817,12.600718026243362,5.24,0.0020999796999218853,,221.15342974929058,,-0.001581179811361804,SH,386.17,,370.10677010308746,2.0,0.0,1.377144438634756,1151.274144801554,3727.0,0.59,0.61,0.0,4.60579,-62.847886,16.641,12.731,,7.056297959353734,0.0043619532766966404,-0.26,2.35,0.4337169226577732,0.004913381351056271,0.00017281461697616984,2460933.3338922253,96,-1.0,-1,2461830.208316014,2
8,145.01,VPC+,5.13002,3e-05,2459060.6424,0.00377,4.78,8.86428,7.82,0.9143155625423582,,282.2293111300101,,-0.193674702967883,SH,192.95,,180.27052462249785,2.0,0.0,1.3813143440919007,1375.8159866624644,5441.0,0.97,1.59,0.0,333.174746,-55.978763,12.342,10.709,,0.669978899573944,0.0001657501962027171,-0.26,2.405,0.13179060082753455,0.001323740024205568,1.8348590160798704e-05,2460907.4496,95,-1.0,-1,2461800.07308,1
9,149.01,VPC,3.339943176422662,1.3291042e-06,2458597.9398629726,0.0002238981,4.2534704091359234,16.729,6.44,0.04693289738847963,,250.5464882335293,,-0.015630622061843596,SH,434.71,,153.1748386229526,2.0,0.0,1.1824161613202617,1699.1412701422507,6098.0,1.34,1.61,0.0,76.635855,-80.768181,11.366,9.419,,0.49476371144181797,0.00012519934607578922,-0.26,2.35,0.8779463709433963,0.02238942351853403,0.0001713337464880988,2460905.8405978805,95,-1.0,-1,2462131.599743628,13
