pl_name,pl_orbper,pl_radius,pl_radiuserr1,pl_radiuserr2,pl_radius_sigma,pl_mass,pl_masserr1,pl_masserr2,pl_mass_sigma
LP 714-47 b,4.052037,4.7,0.3,-0.3,15.66666667,30.8,1.5,-1.5,20.53333333
HATS-17 b,16.254611,8.709,0.628,-0.628,13.86783439,425.25654,20.65895,-20.65895,20.58461538
HAT-P-27 b,3.039577,11.43,0.78,-0.67,14.65384615,197.05,9.53,-9.53,20.67681007
K2-30 b,4.098503,11.646,0.56,-0.572,20.36013986,184.02357,8.89924,-8.58141,20.67857143
HD 3167 b,0.959641,1.67,0.17,-0.1,9.823529412,4.97,0.24,-0.23,20.70833333
HD 1397 b,11.53533,11.5,0.28,-0.303,37.95379538,131.89945,6.3566,-6.3566,20.75
Kepler-16 b,228.776,8.449,0.029,-0.029,291.3448276,105.833,5.085,-5.085,20.81278269
XO-7 b,2.8641424,15.39,0.291,-0.291,52.88659794,225.34147,10.80622,-10.80622,20.85294118
TOI-4127 b,56.39879,12.285,0.437,-0.359,28.11212815,731.00534,34.96112,-34.96112,20.90909387
TOI-150.01,5.857487,14.067,0.235,-0.213,59.85957447,797.7533,38.1396,-38.1396,20.91666667
TIC 237913194 b,15.168865,12.52,0.605,-0.527,20.69421488,617.22586,29.24036,-28.92253,21.10869565
HAT-P-36 b,1.32734683,14.314,0.224,-0.224,63.90178571,587.41341,27.65121,-27.65121,21.24367831
WASP-75 b,2.484193,14.235,0.538,-0.538,26.45910781,340.06,15.89,-15.89,21.40088106
CoRoT-3 b,4.2568,11.32,0.78,-0.78,14.51282051,6883.91,317.8,-317.8,21.66113908
Kepler-9 b,19.23891,8.29,0.54,-0.43,15.35185185,43.4,1.6,-2,21.7
HATS-68 b,3.5862202,13.809,0.437,-0.325,31.59954233,410.0007,18.75197,-18.75197,21.86440678
TOI-1130 c,8.350381,16.814,3.026,-2.466,5.556510245,309.56642,13.66669,-13.98452,22.13636364
TOI-4603 b,7.24599,11.68,0.426,-0.392,27.41784038,4096.80817,184.34048,-181.16219,22.22413748
WASP-145 A b,1.7690381,10.088,4.484,-4.484,2.249776985,282.8687,12.7132,-12.7132,22.25
TIC 257060897 b,3.660028,16.701,0.448,-0.448,37.27901786,212.94503,9.53485,-9.53485,22.33333823
K2-31 b,1.25785,11.882,3.923,-3.923,3.028804486,563.83042,25.10857,-25.10857,22.4556962
HATS-33 b,2.5495551,13.787,1.255,-0.908,10.98565737,378.85336,16.84499,-16.84499,22.49056604
WASP-53 b,3.3098443,12.038,0.415,-0.415,29.00722892,677.61356,29.24036,-29.87602,22.68085106
HAT-P-59 b,4.1419771,12.588,0.146,-0.146,86.21917808,489.45575,21.2945,-21.2945,22.98507831
WASP-52 b,1.7497798,14.24,0.34,-0.34,41.88235294,146.2,6.36,-6.36,22.98742138
Kepler-9 c,38.9853,8.08,0.54,-0.41,14.96296296,29.9,1.1,-1.3,23
WASP-120 b,3.6112706,16.511,1.076,-1.076,15.34479554,1541.4755,66.7443,-66.7443,23.0952381
K2-140 b,6.569188,13.563,1.009,-1.009,13.4420218,295.58042,12.71314,-12.71314,23.24999331
NGTS-8 b,2.4997,12.218,0.336,-0.336,36.36309524,295.5819,12.7132,-9.5349,23.25
TOI-3714 b,2.154849,11.321,0.336,-0.336,33.69345238,222.47988,9.53485,-9.53485,23.33333823
TRAPPIST-1 c,2.421937,1.097,0.014,-0.012,78.35714286,1.308,0.056,-0.056,23.35714286
WASP-186 b,5.026799,12.442,0.336,-0.336,37.0297619,1341.2426,57.2094,-57.2094,23.44444444
GJ 486 b,1.467119,1.305,0.063,-0.067,19.47761194,2.82,0.11,-0.12,23.5
KELT-24 b,5.5514926,14.258,0.235,-0.235,60.67234043,1646.3594,66.7443,-69.9226,23.54545455
HAT-P-54 b,3.799847,10.581,0.314,-0.314,33.69745223,241.5508,10.17056,-10.17056,23.75
WASP-135 b,1.4013794,14.572,1.009,-1.009,14.4420218,603.877,25.4264,-25.4264,23.75
TrES-3 b,1.30618581,14.975,0.347,-0.415,36.08433735,607.03,23.836,-25.425,23.87531957
Kepler-14 b,6.790123,12.733,0.818,-0.605,15.56601467,2669.66,111.24,-108.06,23.99910104
Qatar-5 b,2.8792319,12.408,0.717,-0.717,17.30543933,1373.0256,57.2094,-57.2094,24
Kepler-1514 b,217.83184,12.42,0.258,-0.258,48.13953488,1678.1424,69.9226,-69.9226,24
TOI-558 b,14.574071,12.173,0.46,-0.426,26.46304348,1147.36055,47.67426,-47.67426,24.06666721
55 Cnc e,0.7365474,1.875,0.029,-0.029,64.65517241,7.99,0.32,-0.33,24.21212121
WASP-10 b,3.0927616,12.106,0.224,-0.224,54.04464286,1001.12,41.32,-34.96,24.22846079
HATS-61 b,7.817953,13.395,0.751,-0.751,17.83621838,1080.622,44.4962,-44.4962,24.28571429
WASP-77 A b,1.36002854,13.787,0.347,-0.325,39.73198847,529.81995,21.61233,-20.34102,24.51470758
Kepler-5 b,3.5484657,15.984,0.404,-0.572,27.94405594,670.93913,21.29461,-27.33338,24.54651163
TOI-172 b,9.47725,10.817,0.359,-0.325,30.13091922,1722.6386,69.9226,-63.566,24.63636364
HAT-P-25 b,3.65281514,12.722,0.538,-0.538,23.64684015,180.84527,7.31009,-6.99226,24.73913043
Qatar-1 b,1.4200242,12.812,0.291,-0.28,44.02749141,411.27202,16.52716,-15.57367,24.88461538
HATS-22 b,4.7228124,10.682,0.538,-0.325,19.85501859,870.8542,34.9613,-34.9613,24.90909091
HD 219134 b,3.092926,1.602,0.055,-0.055,29.12727273,4.74,0.19,-0.19,24.94736842
WASP-123 b,2.9776412,14.773,0.729,-0.729,20.26474623,285.72917,11.44188,-11.44188,24.97222222
TOI-559 b,6.9839095,12.229,0.314,-0.28,38.94585987,1910.14873,76.27882,-73.10053,25.04166596
Kepler-75 b,8.8849116,11.77,0.34,-0.34,34.61764706,3209.9,127.1,-127.1,25.25491739
HAT-P-63 b,3.377728,12.543,0.37,-0.37,33.9,195.14664,7.62788,-7.62788,25.58333901
WASP-118 b,4.0460435,16.141,0.404,-0.404,39.9529703,163.36462,6.3566,-6.3566,25.7
WASP-162 b,9.62468,11.209,0.56,-0.56,20.01607143,1652.716,63.566,-63.566,26
HATS-18 b,0.83784,14.897,0.841,-0.841,17.71343639,629.14449,24.15508,-24.15508,26.04605284
TrES-5 b,1.48224686,13.384,0.168,-0.168,79.66666667,568.9157,21.61244,-21.61244,26.32352941
TOI-1516 b,2.056014,15.244,0.336,-0.336,45.36904762,1004.33777,38.13941,-38.13941,26.33333263
HAT-P-53 b,1.9616241,14.773,1.02,-1.02,14.48333333,471.65972,17.79848,-17.79848,26.5
TOI-3235 b,2.59261842,11.4,0.493,-0.493,23.12373225,211.35589,7.94571,-7.94571,26.6000005
WASP-70 A b,3.7130203,13.047,0.818,-1.143,11.41469816,187.512,6.992,-6.992,26.8180778
WASP-104 b,1.7554137,12.745,0.415,-0.415,30.71084337,404.263,14.937,-14.937,27.06453773
TOI-1853 b,1.2436258,3.46,0.08,-0.08,43.25,73.2,2.7,-2.7,27.11111111
TOI-4201 b,3.5819194,13.675,0.448,-0.448,30.52455357,788.21445,28.60456,-28.60456,27.55555233
HAT-P-1 b,4.46529976,14.785,0.213,-0.213,69.41314554,166.86075,6.03877,-6.03877,27.63157895
WASP-114 b,1.5487743,15.009,0.717,-0.717,20.93305439,562.24127,20.34112,-20.34112,27.640625
TOI-216.01,34.525528,10.1,0.2,-0.2,50.5,177.98391,6.35657,-6.35657,27.99999213
HAT-P-52 b,2.7535953,11.31,0.807,-0.807,14.01486989,259.98494,9.21707,-9.21707,28.20689655
TOI-2338 b,22.65398,11.209,0.224,-0.224,50.04017857,1900.61387,66.74397,-63.56568,28.47618849
WASP-18 b,0.94145223,13.899,0.886,-0.886,15.68735892,3241.84975,111.23994,-111.23994,29.14285777
TOI-216.02,17.16073,8,3,-2,2.666666667,18.75188,0.63566,-0.63566,29.49985841
HATS-76 b,1.9416423,12.094,0.347,-0.347,34.85302594,835.57088,28.28673,-28.28673,29.53932392
WASP-150 b,5.644207,11.994,0.269,-0.28,42.83571429,2688.8418,88.9924,-63.566,30.21428571
WASP-76 b,1.809886,20.512,0.673,-0.448,30.47845468,292.4036,9.5349,-9.5349,30.66666667
WASP-130 b,11.55098,9.976,0.336,-0.336,29.69047619,390.9309,12.7132,-12.7132,30.75
K2-146 c,4.00498,2.19,0.07,-0.07,31.28571429,7.49,0.24,-0.24,31.20833333
TRAPPIST-1 e,6.101013,0.92,0.013,-0.012,70.76923077,0.692,0.022,-0.022,31.45454545
TOI-2180 b,260.79,11.321,0.247,-0.213,45.8340081,875.61726,27.65107,-25.7441,31.66666823
HAT-P-35 b,3.646706,14.93,1.098,-1.098,13.59744991,335.62848,10.48839,-10.48839,32
K2-146 b,2.6446,2.05,0.06,-0.06,34.16666667,5.77,0.18,-0.18,32.05555556
HATS-72 b,7.3279474,8.097,0.036,-0.036,224.9166667,39.85588,1.23954,-1.23954,32.15376672
TRAPPIST-1 d,4.049219,0.788,0.011,-0.01,71.63636364,0.388,0.012,-0.012,32.33333333
TRAPPIST-1 f,9.20754,1.045,0.013,-0.012,80.38461538,1.039,0.031,-0.031,33.51612903
WASP-36 b,1.53736596,14.874,0.235,-0.235,63.29361702,750.39663,22.2481,-22.2481,33.72857143
TRAPPIST-1 g,12.352446,1.129,0.015,-0.013,75.26666667,1.321,0.038,-0.038,34.76315789
Kepler-36 b,13.86825,1.498,0.061,-0.049,24.55737705,3.83,0.11,-0.1,34.81818182
WASP-140 b,2.2359835,16.141,4.708,-2.018,3.428419711,775.5052,22.2481,-22.2481,34.85714286
TOI-2589 b,61.6277,12.106,0.336,-0.336,36.0297619,1112.39942,31.78284,-31.78284,35.00000063
TOI-332 b,0.777038,3.2,0.16,-0.11,20,57.2,1.6,-1.6,35.75
LTT 9779 b,0.792052,4.72,0.23,-0.23,20.52173913,29.32,0.78,-0.81,36.19753086
Kepler-87 b,114.73635,13.49,0.55,-0.55,24.52727273,324.2,8.8,-8.8,36.84090909
TOI-1278 b,14.47567,12.218,2.69,-2.242,4.542007435,5879.82553,158.9142,-158.9142,37.00000082
HAT-P-20 b,2.875317,9.718,0.37,-0.37,26.26486486,2302.899,59.432,-59.432,38.74846884
Kepler-36 c,16.21865,3.679,0.096,-0.091,38.32291667,7.13,0.18,-0.18,39.61111111
XO-5 b,4.1877558,12.78,0.34,-0.34,37.58823529,378.2,9.53,-9.53,39.68520462
KELT-14 b,1.7100566,19.537,0.527,-0.527,37.07210626,408.09372,10.17056,-10.17056,40.125
HIP 65 A b,0.9809734,22.754,6.837,-5.492,3.328067866,1021.18779,24.79074,-24.79074,41.19230769
HATS-57 b,2.350621,12.767,0.314,-0.314,40.65923567,1000.21101,23.20159,-23.20159,43.10958904
HAT-P-16 b,2.77596,14.448,0.74,-0.74,19.52432432,1332.605,29.875,-29.875,44.6060251
Qatar-2 b,1.33711647,14.056,0.146,-0.146,96.2739726,792.635,17.162,-17.162,46.18546789
HATS-4 b,2.516729,11.433,0.415,-0.415,27.54939759,420.471,8.899,-8.899,47.24924149
NGTS-6 b,0.882059,14.863,1.087,-1.255,11.84302789,425.57437,8.89924,-8.89924,47.82142857
WASP-47 b,4.1591492,12.64,0.15,-0.15,84.26666667,363.6,7.3,-7.3,49.80821918
TOI-481 b,10.33111,11.097,0.112,-0.112,99.08035714,486.2799,9.5349,-9.5349,51
KOI-13 b,1.763588,16.948,0.392,-0.392,43.23469388,2949.4624,50.8528,-50.8528,58
TIC 172900988 b,200.452,11.25,0.44,-0.44,25.56818182,942,5.6,-5.6,168.2142857
