pl_name,pl_orbper,pl_radius,pl_radiuserr1,pl_radiuserr2,pl_radius_sigma,pl_mass,pl_masserr1,pl_masserr2,pl_mass_sigma
TOI-2570 b,2.9887615,13.641,0.392,-0.381,34.79846939,260.61929,20.02319,-20.65885,12.61538227
2MASS J02192210-3925225 b,,16.141,0.336,-0.336,48.03869048,4417.837,349.613,-349.613,12.63636364
Kepler-82 b,26.44,4.07,0.24,-0.1,16.95833333,12.15,0.96,-0.87,12.65625
GJ 367 b,0.3219225,0.699,0.024,-0.024,29.125,0.633,0.05,-0.05,12.66
CoRoT-14 b,1.51214,12.22,0.78,-0.78,15.66666667,2415.4,190.7,-190.7,12.66596749
HIP 29442 d,6.42975,1.37,0.11,-0.11,12.45454545,5.1,0.4,-0.4,12.75
WASP-156 b,3.836169,5.717,0.224,-0.224,25.52232143,40.68224,3.1783,-2.86047,12.8
Kepler-30 c,60.323105,12.3,0.4,-0.4,30.75,640,50,-50,12.8
TOI-3364 b,5.8768918,12.229,0.426,-0.359,28.70657277,530.77344,38.13941,-41.31769,12.84615476
WASP-133 b,2.176423,13.563,0.56,-0.56,24.21964286,368.6828,28.6047,-28.6047,12.88888889
TOI-3629 b,3.936551,8.295,0.224,-0.224,37.03125,82.63539,6.35657,-6.35657,12.99999685
WASP-148 b,8.803809,8.474,0.146,-0.191,44.36649215,91.21675,6.99222,-5.08525,13.04546339
HATS-34 b,2.1061607,16.029,2.13,-2.13,7.525352113,299.07803,22.88376,-22.88376,13.06944444
CoRoT-12 b,2.828042,16.14,1.46,-1.46,11.05479452,291.438,22.247,-20.658,13.10010338
CoRoT-30 b,9.06005,11.31,0.852,-0.852,13.27464789,921.707,69.9226,-69.9226,13.18181818
TOI-5542 b,75.12375,11.31,0.404,-0.392,27.9950495,419.5335,31.78284,-31.78284,13.20000038
HATS-54 b,2.5441765,11.377,0.269,-0.269,42.2936803,239.32479,18.11622,-18.11622,13.21052571
HATS-24 b,1.3484978,15.637,0.639,-0.639,24.47104851,718.2958,54.0311,-54.0311,13.29411765
HIP 97166 b,10.28891,2.74,0.13,-0.13,21.07692308,20,1.5,-1.5,13.33333333
HAT-P-38 b,4.640382,9.247,1.031,-0.706,8.968962173,84.857,6.356,-6.356,13.35069226
WASP-177 b,3.071722,17.71,7.398,-4.035,2.393890241,161.45764,12.07754,-12.07754,13.36842105
TOI-1468 b,1.8805136,1.28,0.038,-0.039,32.82051282,3.21,0.24,-0.24,13.375
HD 213885 b,1.008035,1.745,0.051,-0.052,33.55769231,8.83,0.66,-0.65,13.37878788
Kepler-77 b,3.57878087,10.761,0.179,-0.179,60.11731844,136.661,10.17,-10.17,13.43765978
WASP-182 b,3.3769848,9.528,0.336,-0.336,28.35714286,47.03884,3.49613,-3.49613,13.45454545
WASP-131 b,5.322023,13.675,0.56,-0.56,24.41964286,85.8141,6.3566,-6.3566,13.5
TOI-892 b,10.62656,11.994,0.224,-0.224,53.54464286,301.9385,22.2481,-22.2481,13.57142857
HAT-P-66 b,2.972086,17.822,1.793,-1.121,9.939765756,248.86089,18.11631,-18.11631,13.73684211
HATS-77 b,3.0876262,13.058,0.235,-0.235,55.56595745,436.69623,31.78284,-23.5193,13.74000026
