,Unnamed: 0,name,disposition,period_p,period_p_error,epoch_p,epoch_p_err,duration,radius_p,a/R*,ecc,ecc_err,omega,omega_err,ecosw,ecc_source,mass_p,mass_p_err,predicted_K_p,mass_sigma_needed,current_mass_sigma,logg_p,teq_p,teff_*,mass_*,radius_*,met_*,RA,dec,vmag,hmag,Met*_KIC,KPF_30min_RVSig,Nobs_30m_KPF,logCtoO,mmw,FoM_trans,FoM_emiss,eclipse_depth,LastScheduledTransitDate,LastScheduledTransitSector,LastEM3TransitDate,LastEM3TransitSector,LastEM4TransitDate,LastEM4TransitSector
5274,5274,TOI-1173 b,KP,7.06466,0.00028,2458702.8444,0.0023,2.586,9.19,16.02,0.023,0.025,90.0,,1.4083438190194563e-18,SH,27.4,1.7,9.719005603231071,0.0,16.11764705882353,0.5022760329450323,868.0,5350.0,0.911,0.934,0.139,197.6830975,70.7680117,11.038,9.228,,-1.0,0.0,-0.26,3.2649999999999997,2.7547777051107034,0.0002065956467184,1.4478419841704569e-06,2460363.0395,75,2461528.7084,22,2462341.1443,21
5277,5277,TOI-1181 b,KP,2.103189,3e-06,2459481.51696,0.00055,4.1218716,17.02644168,3.976,0.011,0.007,90.0,,6.735557395310442e-19,SH,374.71969185,7.31005336,144.79597467419612,0.0,51.26086957181938,1.1026152188259493,1942.12,6054.0,1.467,1.961,0.38,297.2158166,64.3543506,10.582,9.327,,-1.0,0.0,-0.26,2.394,0.8472463324482367,0.0315893942556967,0.0002317081438135,2460661.405989,86,2461641.4920630003,26,2462346.060378,21
5279,5279,TOI-1194 b,KP,2.3106446,5.4e-07,2458684.92352,0.00014,1.6276453,8.71664516,7.65,0.0,,90.0,,0.0,SH,120.0,5.6,58.6777003243403,0.0,21.42857142857143,1.1896390050529122,1264.29,5394.0,0.9835,0.9608,0.348,167.8214811,69.9647749,11.302,9.42,,-1.0,0.0,-0.26,2.704,0.8165610922041358,0.003689656605099,2.8247885775315508e-05,2460364.7621442,75,2461503.909932,21,2462344.9845664003,21
5281,5281,TOI-1201 b,KP,2.4919863,3e-06,2459169.23222,0.00052,1.747,2.415,,0.0,,90.0,,0.0,SH,6.28,0.84,4.6282020624566,0.0,7.476190476190477,1.023281866459001,703.0,3476.0,0.512,0.508,0.05,42.2476999,-14.5372835,12.26,8.876,,-1.0,0.0,-0.26,4.419,0.5188519597948577,1.4761787432753416e-05,8.79708822067111e-08,2459171.7242063,31,-1.0,-1,2461883.0053007,4
5285,5285,TOI-1224 c,KP,17.945466,1.2e-05,2458329.859704,0.000828,3.0740072,2.884,,0.0,,90.0,,0.0,SH,11.16,,5.020807308938271,5.0,,1.118830175403644,303.12,3326.0,0.4,0.404,0.0,37.1978356,-80.8991053,13.95,9.405,,0.6738293864069885,1.3508715313665738,-0.26,4.371,0.2686212898618959,2.3079258053163704e-12,1.754776635010367e-14,2460842.224944,93,-1.0,-1,2462116.35303,13
5286,5286,TOI-1227 b,KP,27.36397,0.00011,2458617.4621,0.0016,4.831,9.57246952,34.01,0.034875303806755,,278.9284186274269,,0.0054126608908561,SH,250.61,,172.89539225010557,2.0,,1.4281069050535309,243.77,3072.0,0.17,0.56,0.0,186.7673635,-72.4518501,16.999,11.312,,3.536575004480735,0.0050208836071989,-0.26,2.377,0.1398931349548131,6.298934993265629e-15,1.152569509299663e-16,2460095.1164800003,65,-1.0,-1,2462092.68629,12
5287,5287,TOI-1231 b,KP,24.245586,6.4e-05,2458685.1163,0.00048,3.24,3.65,58.1,0.087,0.12,176.0,81.0,-0.0867880723726047,SH,15.4,3.3,5.532601931755172,5.0,4.666666666666667,1.0540914848203806,329.6,3553.0,0.485,0.476,0.041,156.74726,-52.4678724,12.36,8.285,,0.3774255289378184,0.34903177029985,-0.26,3.918,0.5775831826827982,3.750455973731681e-11,1.7024880478911717e-13,2460770.2366959997,90,-1.0,-1,2462031.007168,10
5294,5294,TOI-1248 b,KP,4.3601561,1.1e-06,2458687.12116,0.00016,2.3141338,6.8084859,,0.0,,90.0,,0.0,SH,27.4,3.6,11.469356708716676,0.0,7.611111111111111,0.7628059709183246,952.09,5205.0,0.9042,0.8686,0.223,259.0235918,63.1056072,11.806,9.939,,-1.0,0.0,-0.26,3.467,0.9643470969515892,0.0002427734823888,2.3604850161431235e-06,2460657.9117172,86,2461638.9468397,26,2462345.2921279003,21
5299,5299,TOI-1259 A b,KP,3.477978,1.9e-06,2458686.700531,9.7e-05,2.4754,11.45557828,12.314,0.0,,36.06658760964497,,0.0,SH,140.16232749,15.57359194,72.02255419104743,0.0,9.000000001926338,1.0197537588225265,963.0,4775.0,0.744,0.711,-0.5,282.1001665,79.2564761,12.079,9.715,,-1.0,0.0,-0.26,2.35,2.2171076266093945,0.0015142998357508,1.3280421994111824e-05,2460662.192035,86,2461639.503853,26,2462345.5333869997,21
5300,5300,TOI-1260 b,KP,3.127463,5e-06,2459065.564269,0.000396,2.06,2.41,11.73,0.0,,0.0,,0.0,SH,8.56,1.54,4.845189310036813,0.0,5.558441558441559,1.1595961724242834,871.0,4227.0,0.679,0.672,-0.1,157.1440712,65.8541986,11.922,9.105,,-1.0,0.0,-0.26,3.81,0.2795630676423526,5.0333111920110706e-05,3.33314173961652e-07,2460360.333951,75,2461504.9854090004,21,2462343.1454930003,21
